system:index,date,lst,ndvi,rainfall,slope,soil_moisture,twi,.geo
0,2015-01,24.612317909281888,0.3550742557511042,0.024278029929934157,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2015-02,31.11155587282151,0.3183243447609828,0.004482073882805018,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2015-03,38.27328810973996,0.3136264250132889,0.012940738919754335,3.129879220807252,,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2015-04,37.038914809693225,0.3188494935712894,0.11888614466333039,3.129879220807252,4.058756777209507,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2015-05,38.167008724520464,0.3882354486939956,0.09028481766075223,3.129879220807252,3.6367293500925193,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2015-06,38.893559574453135,0.46132773424136997,0.19603817678999666,3.129879220807252,10.732081208376128,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2015-07,31.74437861013523,0.5460915448509807,0.5861353920319912,3.129879220807252,24.351901395870513,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2015-08,31.097545831858053,0.5972344198503203,0.2627531438053309,3.129879220807252,23.38078107001329,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2015-09,31.913815002867757,0.6054247421147642,0.10309901456915765,3.129879220807252,20.75119383872272,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2015-10,32.756172576258244,0.4892724914082128,0.037837155312260784,3.129879220807252,10.649426722987682,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2015-11,30.466710438812253,0.4172053142778951,0.001519751866417219,3.129879220807252,4.356488673772977,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2015-12,25.8022038078952,0.34951652577273457,0.00116988108371678,3.129879220807252,2.8622610512916418,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2016-01,26.20947808577792,0.30076804709826516,0.013458057665020243,3.129879220807252,3.000823841379128,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2016-02,32.64631242544836,0.28690246543548475,0.011324212117674648,3.129879220807252,2.571814710285049,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2016-03,38.74671247083909,0.2930885025946415,0.01556603032881389,3.129879220807252,2.7680450654815023,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2016-04,44.47247611708697,0.2523429689432493,0.002746029591985764,3.129879220807252,2.4190475940704346,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2016-05,38.297162797898665,0.33422090784813163,0.11988814694683277,3.129879220807252,11.459215388021356,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2016-06,37.163831478998866,0.4795798170593719,0.1475325393477349,3.129879220807252,14.869433220057228,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2016-07,29.55666338518084,0.43717716248611926,0.44481345338155887,3.129879220807252,23.77888211191978,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2016-08,31.790352569353807,0.530371561376687,0.4813526840778277,3.129879220807252,23.03552935351518,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2016-09,30.77790212584392,0.6057767105290859,0.4099641855293958,3.129879220807252,24.055547391190554,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2016-10,30.379045923806924,0.578834852794896,0.04467819284665229,3.129879220807252,17.613175494348077,202.26173110610677,"{""type"":""MultiPoint"",""coordinates"":[]}"
